objectid,parentid,title,description,item information,postcard_type,creator,date,subject,location,publisher,publisher location,source,date is approximate,rights,rightsstatement,original_format,type,format,language,latitude,longitude,identifier,display_template,filename,object_location,image_small,image_thumb
nwpostcards492,nwpostcards490,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_028b,image,postcard_028b.jpg,/objects/postcard_028b.jpg,/objects/small/postcard_028b_sm.jpg,/objects/thumbs/postcard_028b_th.jpg
nwpostcards499,,"Hotel Seattle, Seattle, Washington","Postcard is of the Seattle Hotel in Seattle, Washington.",,photographic postcard,,1910,hotels (public accommodations); buildings; men; streetcars; photographic postcards,"Seattle, Washington",,,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.375, Black and white",Image;StillImage,multiple,eng,47.601702,-122.334084,postcard_030,multiple,,,/objects/small/postcard_030_sm.jpg,/objects/thumbs/postcard_030_th.jpg
nwpostcards500,nwpostcards499,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_030,image,postcard_030.jpg,/objects/postcard_030.jpg,/objects/small/postcard_030_sm.jpg,/objects/thumbs/postcard_030_th.jpg
nwpostcards501,nwpostcards499,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_030b,image,postcard_030b.jpg,/objects/postcard_030b.jpg,/objects/small/postcard_030b_sm.jpg,/objects/thumbs/postcard_030b_th.jpg
nwpostcards505,,"Spokane County Court House, Spokane, Washington (1)","Postcard is of the Spokane County Courthouse in Spokane, Washington.","written message; postage applied; Postmark: 9/8/1912, Spokane, WA; Destination: San Francisco, CA",picture postcard,,1912,public buildings; county courthouses; trees; picture postcards,"Spokane, Washington; Spokane County Courthouse",Spokane Post Card Co.,"Spokane, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.375 x 5.375, Color",Image;StillImage,multiple,eng,47.66432,-117.428031,postcard_032,multiple,,,/objects/small/postcard_032_sm.jpg,/objects/thumbs/postcard_032_th.jpg
nwpostcards506,nwpostcards505,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_032,image,postcard_032.jpg,/objects/postcard_032.jpg,/objects/small/postcard_032_sm.jpg,/objects/thumbs/postcard_032_th.jpg
nwpostcards507,nwpostcards505,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_032b,image,postcard_032b.jpg,/objects/postcard_032b.jpg,/objects/small/postcard_032b_sm.jpg,/objects/thumbs/postcard_032b_th.jpg
nwpostcards511,,"Entrance to Davenport's Restaurant, Spokane, Washington","Postcard is of the entrance to the restaurant at the Davenport Hotel in Spokane, Washington. | Entrance to Davenport's Restaurant, Spokane, Wash.",,picture postcard,,1920,restaurants; hotels (public accommodations); buildings; picture postcards,"Spokane, Washington; Davenport Hotel",John W. Graham & Co.,"Spokane, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.5, Color",Image;StillImage,multiple,eng,47.656642,-117.424149,postcard_040,multiple,,,/objects/small/postcard_040_sm.jpg,/objects/thumbs/postcard_040_th.jpg
nwpostcards512,nwpostcards511,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_040,image,postcard_040.jpg,/objects/postcard_040.jpg,/objects/small/postcard_040_sm.jpg,/objects/thumbs/postcard_040_th.jpg
nwpostcards513,nwpostcards511,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_040b,image,postcard_040b.jpg,/objects/postcard_040b.jpg,/objects/small/postcard_040b_sm.jpg,/objects/thumbs/postcard_040b_th.jpg
nwpostcards514,,"Pierce County Court House, Tacoma, Washington","Postcard is of the old Pierce County Courthouse in Tacoma, Washington. The building was demolished in 1959.","written message; postage applied; Postmark: 2/23/1911, Tacoma, WA; Destination: Los Angeles, CA",picture postcard,,1911,public buildings; county courthouses; trees; historic buildings; picture postcards,"Tacoma, Washington",Portland Post Card Co.,"Portland, OR; Seattle, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"5.375 x 3.4375, Color",Image;StillImage,multiple,eng,47.254744,-122.44638,postcard_041,multiple,,,/objects/small/postcard_041_sm.jpg,/objects/thumbs/postcard_041_th.jpg
nwpostcards515,nwpostcards514,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_041,image,postcard_041.jpg,/objects/postcard_041.jpg,/objects/small/postcard_041_sm.jpg,/objects/thumbs/postcard_041_th.jpg
nwpostcards516,nwpostcards514,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_041b,image,postcard_041b.jpg,/objects/postcard_041b.jpg,/objects/small/postcard_041b_sm.jpg,/objects/thumbs/postcard_041b_th.jpg
nwpostcards517,,Perkins Building,"Postcard of the historic Perkins Building in Tacoma, Washington. | Perkins Building, Home of the Morning Ledger & Evening News, Tacoma Wash",,picture postcard,,1911,buildings; historic buildings; men; tracks (transit system elements); picture postcards,"Tacoma, Washington",Pacific Novelty Co.,"San Francisco, CA; Los Angeles, CA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"5.4375 x 3.4375, Color",Image;StillImage,multiple,eng,47.253617,-122.437334,postcard_042,multiple,,,/objects/small/postcard_042_sm.jpg,/objects/thumbs/postcard_042_th.jpg
nwpostcards518,nwpostcards517,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_042,image,postcard_042.jpg,/objects/postcard_042.jpg,/objects/small/postcard_042_sm.jpg,/objects/thumbs/postcard_042_th.jpg
nwpostcards519,nwpostcards517,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_042b,image,postcard_042b.jpg,/objects/postcard_042b.jpg,/objects/small/postcard_042b_sm.jpg,/objects/thumbs/postcard_042b_th.jpg
nwpostcards520,,"C Street, Tacoma, Washington","Postcard is a historic view of C street in Tacoma, Washington. | C. Street, Tacoma, Washington.",,picture postcard,,1910,buildings; historic buildings; men; women; tracks (transit system elements); horse-drawn vehicles; picture postcards,"Tacoma, Washington",,,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,multiple,eng,47.257064,-122.439506,postcard_043,multiple,,,/objects/small/postcard_043_sm.jpg,/objects/thumbs/postcard_043_th.jpg
nwpostcards521,nwpostcards520,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_043,image,postcard_043.jpg,/objects/postcard_043.jpg,/objects/small/postcard_043_sm.jpg,/objects/thumbs/postcard_043_th.jpg
nwpostcards522,nwpostcards520,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_043b,image,postcard_043b.jpg,/objects/postcard_043b.jpg,/objects/small/postcard_043b_sm.jpg,/objects/thumbs/postcard_043b_th.jpg
nwpostcards523,,"Tacoma High School, Tacoma, Washington","Postcard is of a Tacoma, Washington High School, now named Stadium High School.","written message; postage applied; Postmark: 7/17/1909, Tacoma, WA; Destination: Helena, MT",picture postcard,,1909,high schools (buildings); historic buildings; trees; horse-drawn vehicles; picture postcards; flagpoles; flags,"Tacoma, Washington; Stadium High School",Central News Company,"Tacoma, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,multiple,eng,47.265893,-122.448445,postcard_044,multiple,,,/objects/small/postcard_044_sm.jpg,/objects/thumbs/postcard_044_th.jpg
nwpostcards524,nwpostcards523,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_044,image,postcard_044.jpg,/objects/postcard_044.jpg,/objects/small/postcard_044_sm.jpg,/objects/thumbs/postcard_044_th.jpg
nwpostcards525,nwpostcards523,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_044b,image,postcard_044b.jpg,/objects/postcard_044b.jpg,/objects/small/postcard_044b_sm.jpg,/objects/thumbs/postcard_044b_th.jpg
nwpostcards526,,"State Penitentiary, Walla Walla, Washington","Postcard is of the Washington State Penitentiary in Walla Walla, Washington.",,picture postcard,,1920,penitentiaries (institutions). penitentiaries (buildings); trees; picture postcards,"Walla Walla, Washington; Washington State Penitentiary",Spokane Post Card Co.,"Spokane, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,multiple,eng,46.077719,-118.356755,postcard_045,multiple,,,/objects/small/postcard_045_sm.jpg,/objects/thumbs/postcard_045_th.jpg
nwpostcards527,nwpostcards526,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_045,image,postcard_045.jpg,/objects/postcard_045.jpg,/objects/small/postcard_045_sm.jpg,/objects/thumbs/postcard_045_th.jpg
nwpostcards528,nwpostcards526,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_045b,image,postcard_045b.jpg,/objects/postcard_045b.jpg,/objects/small/postcard_045b_sm.jpg,/objects/thumbs/postcard_045b_th.jpg
nwpostcards556,,Mount Adams,"Postcard is a view of Mount Adams from the Columbia River. | Columbia River Scenes, Oregon. Olde, Wortman & King, Portland. Hand-colored. Mount Adams.",,picture postcard,"Olds, Wortman & King",1920,mountains; rivers; trees; reflections (perceived properties); picture postcards,"Mount Adams, Washington; Columbia River","Olds, Wortman & King","Portland, OR","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5 x 5.5, Color",Image;StillImage,multiple,eng,45.696438,-121.83049,postcard_053,multiple,,,/objects/small/postcard_053_sm.jpg,/objects/thumbs/postcard_053_th.jpg
nwpostcards557,nwpostcards556,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_053,image,postcard_053.jpg,/objects/postcard_053.jpg,/objects/small/postcard_053_sm.jpg,/objects/thumbs/postcard_053_th.jpg
nwpostcards558,nwpostcards556,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_053b,image,postcard_053b.jpg,/objects/postcard_053b.jpg,/objects/small/postcard_053b_sm.jpg,/objects/thumbs/postcard_053b_th.jpg
nwpostcards559,,"General View of Ashland, Oregon","Postcard is a photograph overlooking Ashland, Oregon.",,photographic postcard,,1910,college towns; trees; overlooks; photographic postcards,"Ashland, Oregon",Albertype Co.,"Brooklyn, NY","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5625 x 5.5625, Black and white",Image;StillImage,multiple,eng,42.197821,-122.725462,postcard_054,multiple,,,/objects/small/postcard_054_sm.jpg,/objects/thumbs/postcard_054_th.jpg
nwpostcards560,nwpostcards559,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_054,image,postcard_054.jpg,/objects/postcard_054.jpg,/objects/small/postcard_054_sm.jpg,/objects/thumbs/postcard_054_th.jpg
nwpostcards561,nwpostcards559,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_054b,image,postcard_054b.jpg,/objects/postcard_054b.jpg,/objects/small/postcard_054b_sm.jpg,/objects/thumbs/postcard_054b_th.jpg
nwpostcards565,,"Court House, Eugene, Oregon","Postcard is of the old Lane County Courthouse in Eugene, Oregon. | Court House, Eugene, Oregon.",written message,picture postcard,,1920,public buildings; county courthouses; trees; picture postcards,"Eugene, Oregon; Lane County Courthouse",Portland Post Card Co.,"Portland, OR","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"5.4375 x 3.4375, Color",Image;StillImage,multiple,eng,44.050987,-123.091263,postcard_055,multiple,,,/objects/small/postcard_055_sm.jpg,/objects/thumbs/postcard_055_th.jpg
nwpostcards566,nwpostcards565,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_055,image,postcard_055.jpg,/objects/postcard_055.jpg,/objects/small/postcard_055_sm.jpg,/objects/thumbs/postcard_055_th.jpg
nwpostcards567,nwpostcards565,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_055b,image,postcard_055b.jpg,/objects/postcard_055b.jpg,/objects/small/postcard_055b_sm.jpg,/objects/thumbs/postcard_055b_th.jpg
nwpostcards568,,"Sigma Nu House, Eugene, Oregon","Postcard is of the old Sigma Nu House in Eugene, Oregon. This building was purchased by Northwest Christian University and torn down. The interior of this house was used for the Animal House (1978) film.","written message; postage applied; Postmark: 2/8/1908, Pilotock, OR; Destination: Mt. Carmel, PA",picture postcard,E. Schwarzschild?,1908,fraternity houses; student housing; trees; picture postcards,"Eugene, Oregon; University of Oregon; Northwest Christian University",M. Rieder,"Los Angeles, CA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5 x 5.375, Color",Image;StillImage,multiple,eng,44.047783,-123.080719,postcard_056,multiple,,,/objects/small/postcard_056_sm.jpg,/objects/thumbs/postcard_056_th.jpg
nwpostcards569,nwpostcards568,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_056,image,postcard_056.jpg,/objects/postcard_056.jpg,/objects/small/postcard_056_sm.jpg,/objects/thumbs/postcard_056_th.jpg
nwpostcards570,nwpostcards568,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_056b,image,postcard_056b.jpg,/objects/postcard_056b.jpg,/objects/small/postcard_056b_sm.jpg,/objects/thumbs/postcard_056b_th.jpg
nwpostcards583,,"Multnomah Hotel, 600 Rooms, Portland, Oregon","Postcard is of the Multhomah Hotel in Portland, Oregon.",,picture postcard,,1920,hotels (public accommodations); buildings; men; women; automobiles; picture postcards,"Portland, Oregon",E.C. Kropp Co.,"Milwaukee, WI","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,multiple,eng,45.52181,-122.674911,postcard_060,multiple,,,/objects/small/postcard_060_sm.jpg,/objects/thumbs/postcard_060_th.jpg
nwpostcards584,nwpostcards583,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_060,image,postcard_060.jpg,/objects/postcard_060.jpg,/objects/small/postcard_060_sm.jpg,/objects/thumbs/postcard_060_th.jpg
nwpostcards585,nwpostcards583,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_060b,image,postcard_060b.jpg,/objects/postcard_060b.jpg,/objects/small/postcard_060b_sm.jpg,/objects/thumbs/postcard_060b_th.jpg
nwpostcards586,,"Hotel Portland, Portland, Oregon (1)","Postcard is of the old Portland Hotel, which is no longer standing, in Portland, Oregon.",,picture postcard,,1910,hotels (public accommodations); buildings; men; horse-drawn vehicles; picture postcards,"Portland, Oregon",Skidmore Drug Co.,"Portland, OR","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,multiple,eng,45.51835,-122.678885,postcard_061,multiple,,,/objects/small/postcard_061_sm.jpg,/objects/thumbs/postcard_061_th.jpg
nwpostcards587,nwpostcards586,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_061,image,postcard_061.jpg,/objects/postcard_061.jpg,/objects/small/postcard_061_sm.jpg,/objects/thumbs/postcard_061_th.jpg
nwpostcards588,nwpostcards586,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_061b,image,postcard_061b.jpg,/objects/postcard_061b.jpg,/objects/small/postcard_061b_sm.jpg,/objects/thumbs/postcard_061b_th.jpg
nwpostcards589,,"Hotel Portland, Portland, Oregon (2)","Postcard is of the old Portland Hotel in Portland, Oregon.",,picture postcard,,1920,hotels (public accommodations); buildings; men; horse-drawn vehicles; picture postcards,"Portland, Oregon",Edward H. Mitchell,"San Francisco, CA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.375 x 5.4375, Color",Image;StillImage,multiple,eng,45.51835,-122.678885,postcard_062,multiple,,,/objects/small/postcard_062_sm.jpg,/objects/thumbs/postcard_062_th.jpg
nwpostcards590,nwpostcards589,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_062,image,postcard_062.jpg,/objects/postcard_062.jpg,/objects/small/postcard_062_sm.jpg,/objects/thumbs/postcard_062_th.jpg
nwpostcards591,nwpostcards589,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_062b,image,postcard_062b.jpg,/objects/postcard_062b.jpg,/objects/small/postcard_062b_sm.jpg,/objects/thumbs/postcard_062b_th.jpg
nwpostcards634,,"Spokane's Great Restaurant, Washington","Postcard is of the Davenport Hotel's Restaurant in Spokane, Washington.","written message; postage applied; Postmark: 9/5/1909, Spokane, WA; Destination: ?",picture postcard,,1909,restaurants; automobiles; buildings; picture postcards; flagpoles; flags,"Spokane, Washington; Davenport Hotel",Edward H. Mitchell,"San Francisco, CA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.375 x 5.375, Color",Image;StillImage,multiple,eng,47.656527,-117.423418,postcard_038,multiple,,,/objects/small/postcard_038_sm.jpg,/objects/thumbs/postcard_038_th.jpg
nwpostcards635,nwpostcards634,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_038,image,postcard_038.jpg,/objects/postcard_038.jpg,/objects/small/postcard_038_sm.jpg,/objects/thumbs/postcard_038_th.jpg
nwpostcards636,nwpostcards634,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_038b,image,postcard_038b.jpg,/objects/postcard_038b.jpg,/objects/small/postcard_038b_sm.jpg,/objects/thumbs/postcard_038b_th.jpg
nwpostcards750,,"Wallace, Idaho, before the fire August 20, 1910.","Postcard of Wallace, Idaho before the August 20, 1910 fire.",,photographic postcard,Barnard's Studio,1910,mining towns; towns; buildings; railroads; trees; houses; mountains; highways; photographic postcards,"Wallace, Idaho",Barnard's Studio,"Wallace, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,47.469849,-115.918987,pg_9_01_06d,multiple,,,/objects/small/pg_9_01_06d_sm.jpg,/objects/thumbs/pg_9_01_06d_th.jpg
nwpostcards751,nwpostcards750,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_06d,image,pg_9_01_06d.jpg,/objects/pg_9_01_06d.jpg,/objects/small/pg_9_01_06d_sm.jpg,/objects/thumbs/pg_9_01_06d_th.jpg
nwpostcards752,nwpostcards750,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_06d_b,image,pg_9_01_06d_b.jpg,/objects/pg_9_01_06d_b.jpg,/objects/small/pg_9_01_06d_b_sm.jpg,/objects/thumbs/pg_9_01_06d_b_th.jpg
